iter	Passed	Remaining
548	82055	67408
549	82133	67200
550	82200	66983
551	82272	66771
552	82346	66561
553	82442	66370
554	82523	66167
555	82604	65964
556	82693	65768
557	82774	65567
558	82853	65363
559	82923	65154
560	83016	64963
561	83102	64767
562	83172	64558
563	83231	64341
564	83293	64128
565	83359	63918
566	83435	63717
567	83517	63520
568	83622	63341
569	83720	63157
570	83805	62964
571	83884	62766
572	83981	62583
573	84054	62382
574	84124	62179
575	84188	61972
576	84253	61766
577	84313	61557
578	84386	61358
579	84468	61166
580	84546	60972
581	84621	60776
582	84728	60603
583	84996	60545
584	85100	60370
585	85204	60195
586	85300	60015
587	85377	59822
588	85481	59648
589	85578	59469
590	85650	59274
591	85732	59085
592	85820	58901
593	85897	58711
594	85992	58532
595	86094	58359
596	86162	58163
597	86231	57968
598	86292	57768
599	86375	57583
600	86457	57398
601	86544	57217
602	86636	57039
603	86724	56858
604	86815	56681
605	86891	56493
606	86989	56321
607	87067	56135
608	87141	55948
609	87206	55754
610	87275	55564
611	87327	55364
612	87423	55192
613	87510	55014
614	87575	54823
615	87645	54635
616	87720	54452
617	87790	54265
618	87871	54085
619	87945	53901
620	88014	53715
621	88093	53536
622	88158	53348
623	88219	53157
624	88284	52970
625	88369	52795
626	88444	52615
627	88512	52431
628	88573	52242
629	88638	52057
630	88708	51875
631	88771	51689
632	88840	51507
633	88908	51325
634	88967	51138
635	89028	50953
636	89102	50775
637	89152	50584
638	89198	50392
639	89252	50204
640	89304	50016
641	89377	49839
642	89450	49663
643	89533	49493
644	89631	49332
645	89715	49162
646	89791	48989
647	89857	48811
648	89924	48633
649	89992	48457
650	90064	48283
651	90125	48103
652	90176	47919
653	90229	47736
654	90284	47554
655	90352	47380
656	90423	47207
657	90508	47042
658	90589	46875
659	90647	46697
660	90705	46519
661	90772	46345
662	90841	46174
663	90920	46007
664	91007	45845
665	91086	45680
666	91145	45504
667	91202	45328
668	91277	45161
669	91356	44996
670	91436	44832
671	91531	44676
672	91632	44522
673	91720	44363
674	91820	44209
675	91896	44045
676	91967	43878
677	92038	43711
678	92109	43545
679	92165	43371
680	92220	43198
681	92279	43027
682	92334	42854
683	92402	42688
684	92502	42537
685	92588	42379
686	92664	42218
687	92765	42067
688	92866	41917
689	92957	41763
690	93048	41609
691	93118	41445
692	93179	41278
693	93253	41117
694	93324	40955
695	93415	40802
696	93491	40642
697	93581	40489
698	93669	40335
699	93763	40184
700	93847	40028
701	93928	39872
702	94021	39721
703	94099	39564
704	94162	39401
705	94225	39238
706	94296	39078
707	94387	38928
708	94464	38771
709	94560	38623
710	94664	38478
711	94789	38341
712	94860	38183
713	94955	38035
714	95059	37890
715	95127	37732
716	95185	37569
717	95252	37411
718	95324	37254
719	95402	37100
720	95467	36942
721	95541	36787
722	95613	36632
723	95691	36479
724	96092	36448
725	96222	36315
726	96396	36198
727	96515	36060
728	97029	36070
729	97207	35953
730	97508	35881
731	97671	35759
732	97827	35634
733	97975	35506
734	98081	35362
735	98221	35231
736	98367	35102
737	98462	34955
738	98544	34803
739	98670	34668
740	98759	34519
741	98836	34366
742	98909	34212
743	98986	34059
744	99075	33911
745	99175	33767
746	99284	33626
747	99369	33477
748	99458	33329
749	99566	33188
750	99656	33041
751	99738	32892
752	99814	32741
753	99879	32586
754	99967	32439
755	100043	32289
756	100121	32139
757	100220	31996
758	100318	31853
759	100408	31708
760	100500	31563
761	100565	31410
762	100653	31264
763	100761	31125
764	100840	30977
765	100922	30830
766	101049	30696
767	101170	30562
768	101292	30427
769	101393	30286
770	101482	30141
771	101593	30004
772	101686	29861
773	101837	29735
774	101951	29598
775	102075	29465
776	102186	29327
777	102326	29198
778	102433	29060
779	102582	28933
780	102689	28795
781	102774	28650
782	102874	28510
783	102973	28370
784	103078	28231
785	103170	28089
786	103249	27944
787	103386	27814
788	103491	27676
789	103634	27548
790	103738	27410
791	103853	27274
792	103956	27136
793	104062	26998
794	104163	26859
795	104265	26721
796	104381	26586
797	104488	26449
798	104597	26313
799	104715	26178
800	104819	26041
801	104930	25905
802	105042	25770
803	105156	25635
804	105267	25499
805	105389	25366
806	105477	25225
807	105578	25087
808	105694	24953
809	105813	24820
810	105899	24679
811	105995	24540
812	106082	24400
813	106198	24266
814	106327	24135
815	106487	24011
816	106647	23887
817	106836	23770
818	107247	23701
819	107639	23628
820	107893	23523
821	108045	23396
822	108155	23260
823	108230	23117
824	108309	22974
825	108442	22843
826	108521	22701
827	108598	22559
828	108693	22420
829	108775	22279
830	108854	22137
831	108949	21999
832	109037	21859
833	109122	21719
834	109256	21589
835	109362	21453
836	109447	21314
837	109555	21178
838	109650	21041
839	109747	20904
840	109865	20771
841	109952	20632
842	110021	20490
843	110093	20348
844	110157	20206
845	110220	20063
846	110283	19921
847	110360	19781
848	110434	19641
849	110492	19498
850	110590	19363
851	110677	19225
852	110807	19095
853	110923	18963
854	111000	18824
855	111057	18682
856	111120	18541
857	111195	18402
858	111321	18272
859	111441	18141
860	111574	18012
861	111676	17878
862	111787	17746
863	111872	17609
864	111950	17472
865	112033	17335
866	112086	17194
867	112161	17056
868	112219	16916
869	112282	16777
870	112372	16642
871	112472	16509
872	112561	16374
873	112633	16237
874	112735	16105
875	112836	15972
876	112946	15840
877	113024	15705
878	113108	15570
879	113173	15432
880	113249	15297
881	113326	15161
882	113408	15026
883	113487	14891
884	113563	14756
885	113621	14619
886	113684	14482
887	113736	14345
888	113813	14210
889	113884	14075
890	113947	13939
891	114057	13809
892	114130	13675
893	114207	13541
894	114308	13410
895	114396	13278
896	114474	13144
897	114569	13013
898	114650	12880
899	114742	12749
900	114820	12616
901	114882	12481
902	114959	12348
903	115033	12215
904	115105	12082
905	115164	11948
906	115234	11815
907	115323	11684
908	115393	11552
909	115479	11421
910	115549	11288
911	115614	11155
912	115691	11024
913	115767	10892
914	115835	10760
915	115905	10628
916	115992	10498
917	116062	10367
918	116138	10236
919	116201	10104
920	116270	9973
921	116346	9842
922	116439	9713
923	116507	9582
924	116595	9453
925	116666	9323
926	116734	9192
927	116811	9062
928	116885	8933
929	116957	8803
930	117039	8674
931	117343	8561
932	117512	8438
933	117664	8314
934	117797	8189
935	117892	8061
936	117984	7932
937	118041	7802
938	118126	7673
939	118212	7545
940	118279	7416
941	118359	7287
942	118451	7159
943	118530	7031
944	118599	6902
945	118675	6774
946	118766	6646
947	118895	6521
948	118999	6395
949	119066	6266
950	119157	6139
951	119226	6011
952	119301	5883
953	119388	5756
954	119459	5628
955	119524	5501
956	119588	5373
957	119673	5246
958	119745	5119
959	119804	4991
960	119882	4865
961	119950	4738
962	120005	4610
963	120056	4483
964	120124	4356
965	120184	4230
966	120261	4104
967	120334	3977
968	120426	3852
969	120491	3726
970	120583	3601
971	120658	3475
972	120731	3350
973	120794	3224
974	120858	3098
975	120916	2973
976	120968	2847
977	121039	2722
978	121089	2597
979	121139	2472
980	121194	2347
981	121270	2222
982	121338	2098
983	121393	1973
984	121447	1849
985	121525	1725
986	121591	1601
987	121644	1477
988	121700	1353
989	121786	1230
990	121840	1106
991	121884	982
992	121933	859
993	121988	736
994	122060	613
995	122107	490
996	122156	367
997	122221	244
998	122282	122
999	122340	0
