iter	Logloss
0	0.5879451912
1	0.5040283818
2	0.4419731742
3	0.3981967607
4	0.3667547018
5	0.3399156978
6	0.3219288266
7	0.3078022443
8	0.296297645
9	0.2873592726
10	0.2807705633
11	0.2752234378
12	0.2713761599
13	0.2676997889
14	0.2651856504
15	0.2629726908
16	0.2610952043
17	0.259462426
18	0.2583203112
19	0.2572245225
20	0.2563514657
21	0.2556634441
22	0.2549651773
23	0.2543562656
24	0.2539279463
25	0.2535383884
26	0.2532834128
27	0.2528127782
28	0.2525099756
29	0.2521913969
30	0.2519211405
31	0.2517018123
32	0.251444116
33	0.2512371379
34	0.2510484527
35	0.2508473711
36	0.2507090016
37	0.2505661568
38	0.2504300591
39	0.2503082486
40	0.2502131387
41	0.2500956269
42	0.2499947317
43	0.2498266225
44	0.2497070052
45	0.2496095628
46	0.2494763464
47	0.2493691624
48	0.2492734618
49	0.249164802
50	0.2490909758
51	0.2489989919
52	0.2489246304
53	0.2488162344
54	0.2487634532
55	0.2486839451
56	0.2486216788
57	0.2485354416
58	0.2484611665
59	0.2483926021
60	0.2483217478
61	0.2482711904
62	0.2482254442
63	0.2481581986
64	0.2481004212
65	0.2479989794
66	0.2478883446
67	0.2478444072
68	0.2477766314
69	0.247720347
70	0.247625463
71	0.247581495
72	0.2475207338
73	0.247465709
74	0.2474237633
75	0.2473458091
76	0.2472611919
77	0.2471969638
78	0.2471481832
79	0.2470885427
80	0.2470346176
81	0.2469998441
82	0.2469168272
83	0.2468809022
84	0.2468327534
85	0.2467902973
86	0.2467329612
87	0.2466806599
88	0.2466352192
89	0.246570357
90	0.2465225456
91	0.2464887388
92	0.2464230163
93	0.2463789043
94	0.2463286696
95	0.2462709293
96	0.2462314991
97	0.2461847326
98	0.2461477419
99	0.2460893557
100	0.2460366589
101	0.2459774501
102	0.2459055917
103	0.2458639548
104	0.2458146753
105	0.2457806683
106	0.2457476463
107	0.2457211697
108	0.245668965
109	0.2456340468
110	0.245581802
111	0.2455406111
112	0.2455024159
113	0.2454689635
114	0.2454241819
115	0.2453828543
116	0.2453371953
117	0.2452661516
118	0.2452126717
119	0.245153776
120	0.2451232537
121	0.2450729389
122	0.2450106163
123	0.2449641125
124	0.2449229692
125	0.2448732976
126	0.2448273371
127	0.2447885775
128	0.2447397372
129	0.2446923468
130	0.2446458335
131	0.2446012563
132	0.2445523785
133	0.2444822975
134	0.2444142384
135	0.2443652046
136	0.2443179002
137	0.2442744808
138	0.2442323536
139	0.2441934983
140	0.2441639253
141	0.2441251436
142	0.2440953294
143	0.2440317342
144	0.2439894778
145	0.2439319089
146	0.2438838485
147	0.2438280965
148	0.2437820334
149	0.2437279665
150	0.243679351
151	0.2436398135
152	0.2436009087
153	0.2435669047
154	0.2435168928
155	0.2434693698
156	0.2434284795
157	0.2433849316
158	0.2433385607
159	0.2432791545
160	0.2432472383
161	0.2431953282
162	0.243154497
163	0.24312081
164	0.2430741183
165	0.2430213549
166	0.2429897497
167	0.2429551395
168	0.2429162216
169	0.24285848
170	0.2428058606
171	0.2427461694
172	0.2427100183
173	0.2426560501
174	0.2426382319
175	0.242610349
176	0.2425799796
177	0.2425486918
178	0.2424984996
179	0.2424682786
180	0.2424258059
181	0.24238559
182	0.2423443824
183	0.2423070369
184	0.2422681196
185	0.2422166614
186	0.242183362
187	0.2421473038
188	0.2421068392
189	0.2420736851
190	0.242039298
191	0.2419736385
192	0.2419346099
193	0.2418977073
194	0.2418665329
195	0.2418238402
196	0.2417830784
197	0.2417301818
198	0.2416954456
199	0.2416701887
200	0.2416299896
201	0.2415815848
202	0.241530536
203	0.2414866961
204	0.2414405162
205	0.2414024557
206	0.241370788
207	0.2413276344
208	0.2412728394
209	0.2412364565
210	0.2411888103
211	0.2411713556
212	0.2411345744
213	0.2410882751
214	0.2410301425
215	0.2409842167
216	0.2409568318
217	0.2409296929
218	0.240890568
219	0.240867632
220	0.2408262985
221	0.2408008999
222	0.2407719356
223	0.2407407101
224	0.2406965053
225	0.2406513728
226	0.2406055559
227	0.2405774629
228	0.2405309489
229	0.2404870383
230	0.2404609757
231	0.240432449
232	0.2403856998
233	0.2403544668
234	0.2403180253
235	0.2402987685
236	0.2402701754
237	0.2402415733
238	0.2402130228
239	0.2401769437
240	0.2401325318
241	0.2400883856
242	0.2400434837
243	0.2400042806
244	0.2399741662
245	0.2399406775
246	0.2398954715
247	0.2398421014
248	0.2398133061
249	0.2397733546
